"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"412","Male","White","20-21","3rd","Psychology","right","glasses/contacts","20/20",NA,"80",0.0781504069796782,0.0786473380386311,0.00729568778435359,0.139909260906415,0.141412701209414,0.00551462252494196,1,8,29,10,2.77272727272727,2.33333333333333,2.83333333333333,-0.0606060606060606,-0.5,3,3,5,2,3,4,5,1,1,2,2,4,5,3,3,4,2,4,3,2,1,3,4,3,1,1,3,1,1,2,2,4,4,1,2,1,3,2,2,3,3,5,4,3,5,2,5,1,5,2,5,4,4,5,3,2,1,1,2,3
"413","Female","Asian","20-21","2nd","biochemistry & molecular biology","right","glasses/contacts","20/16",NA,"40",0.112780217640012,0.121377048362614,0.0234803480645722,0.201516282784429,0.235016424161378,0.0810396463065783,-2.75,5,32,14,3,2.46666666666667,2.78333333333333,0.216666666666667,-0.316666666666666,2,4,4,1,1,4,4,3,2,1,2,2,3,3,3,4,4,4,3,4,3,3,3,3,2,3,3,4,3,3,2,4,2,2,2,2,2,2,2,3,2,2,4,2,3,4,4,2,3,3,3,2,2,3,3,4,2,2,3,3
"414","Female","White","18-19","1st","Broadcast Journalism","right","glasses/contacts","20/16",NA,"100",0.0907980381286017,0.0904094171426836,0.0101311977825852,0.162542700715252,0.16218808167688,0.0208219786227503,12.25,17,26,8,3.45454545454545,3.06666666666667,3.35,0.104545454545454,-0.283333333333333,3,4,5,4,5,3,5,2,2,1,3,4,3,3,4,5,3,4,4,4,4,2,2,3,2,4,4,2,2,4,3,3,4,1,5,3,4,3,5,3,4,4,4,4,4,3,3,1,2,1,4,4,4,4,4,3,3,3,4,4
"415","Female","White","18-19","1st","BBH","right","glasses/contacts","20/16",NA,"40",0.102081157990316,0.101886896763581,0.0148157456459472,0.147750724530452,0.159642882468789,0.0264838617626123,10.75,13,29,9,3.40909090909091,2.13333333333333,2.96666666666667,0.442424242424242,-0.833333333333333,5,3,5,3,5,5,3,2,1,2,1,1,4,4,4,5,3,1,5,5,4,2,1,1,1,1,4,1,1,5,1,5,5,1,1,1,5,5,3,5,4,1,1,3,4,3,5,1,3,1,5,3,5,5,1,5,1,1,1,5
"416","Female","Asian","18-19","1st","Ad","right","glasses/contacts","20/16",NA,"40",0.0979226892996505,0.0986236379851503,0.00854619786277343,0.198487925789931,0.223750012572543,0.0877918611045835,5,11,21,7,3.77272727272727,2.86666666666667,3.35,0.422727272727273,-0.483333333333333,3,5,1,1,2,3,3,4,3,4,4,3,3,4,3,5,2,3,3,5,5,4,3,3,2,2,4,3,3,5,3,5,4,4,2,2,4,2,3,5,3,4,4,4,4,1,4,2,2,4,5,2,5,4,3,5,2,3,3,5
"417","Female","Black","18-19","2nd","Biobehavioral Health","right","glasses/contacts","20/16",NA,"40",0.082729687793968,0.0828847280546533,0.0043517880202299,0.240849417670209,0.348711818885473,0.282622209620336,4.75,11,30,10,3.40909090909091,2.2,2.73333333333333,0.675757575757576,-0.533333333333333,2,3,4,1,4,4,5,3,3,2,1,1,3,4,3,5,4,2,5,5,3,3,2,1,3,3,2,1,1,3,2,2,3,1,3,4,3,4,3,1,3,1,5,1,3,2,3,1,3,2,5,2,3,4,4,2,1,1,2,4
"418","Female","Black","18-19","1st","Mathematics","right","none","20/16",NA,"40",0.0988512305474679,0.10572313390997,0.015873843755412,0.147835751607519,0.154278307997471,0.0211319715994886,11,16,20,2,2.81818181818182,2.2,2.56666666666667,0.251515151515151,-0.366666666666667,3,4,5,1,2,2,5,2,2,1,3,3,1,2,1,3,2,1,5,1,4,1,4,3,1,5,4,1,1,2,1,2,1,4,1,4,4,1,5,3,1,2,2,1,5,4,4,1,1,3,2,4,4,4,2,1,3,1,4,4
"419","Female","White","18-19","1st","undecided","right","none","20/16",NA,"40",0.0993080633281108,0.0992579864868861,0.00627549522556785,0.140342499590664,0.139965708706336,0.00427291162671668,2.25,9,32,12,4.18181818181818,3.33333333333333,3.8,0.381818181818182,-0.466666666666666,4,4,5,4,5,3,5,4,2,1,5,5,5,5,3,5,2,2,5,5,3,1,2,5,4,5,5,2,2,5,5,4,5,2,4,1,5,5,3,4,4,4,4,4,3,3,5,2,5,3,5,2,5,5,5,5,4,2,2,5
"420","Female","White","18-19","2nd","psychology","right","none","20/16",NA,"40",0.136994783640383,0.132343633667587,0.0164199820272711,0.203807484914381,0.21830159406876,0.0382534585409486,7.25,13,24,5,4.09090909090909,2.8,3.46666666666667,0.624242424242424,-0.666666666666667,4,4,5,1,4,2,4,3,1,2,4,2,4,5,3,5,2,1,5,5,5,4,4,5,2,4,2,1,1,4,4,4,4,1,4,1,4,4,4,5,4,4,5,4,5,1,5,1,5,2,5,5,5,5,4,4,1,1,4,5
"421","Male","Asian","20-21","3rd","HPA","right","glasses/contacts","20/16",NA,"40",0.0903772247852752,0.0944831444623205,0.0200893300421145,0.165652249339211,0.180742734199721,0.0453360891985509,6,12,26,7,3.22727272727273,3.93333333333333,3.5,-0.272727272727273,0.433333333333333,3,3,5,2,5,5,3,3,2,3,4,5,5,5,3,3,4,5,4,5,3,3,3,3,4,4,4,2,4,3,3,2,5,5,5,2,4,5,5,3,5,2,3,3,5,3,4,3,3,2,5,3,3,3,2,1,2,2,2,5
