"Participant","Sex","Race","Age","School_year","Major","Handedness","Glasses","Acuity","Color_vision","Stereo_amin","motion_dur_thr","motion_dur_thr_mean","motion_dur_thr_sd","contrast_thr","contrast_thr_mean","contrast_thr_sd","vocab","Vocabulary_scores_cor_num","mental_rot","Mental_Rotation_scores_both","Feminine_hobbies","Masculine_hobbies","hobby_mean","femscale","masscale","Golf","Painting","Dancing","Going to rock concerts","Going to parties","Home electronics","Going to amusement parks","Going to art galleries","Going to church groups","Writing poetry","Surfing","Volleyball","Entertaining others","Trying new fashions","Aerobics","Travelling","Computers","Video games","Talking on phone with friends","Clothes shopping","Romance novels","Reading science fiction","Watching violent movies","Sailing","Going to car shows","Singing","Swimming","Collecting stamps","Collecting CDs","Photography","Fishing","Drawing","Going out to drink with friends","Poker","Playing basketball","Listening to religious music","Going to formal dress affairs","Going to night clubs","TV sports","Skiing","Football","Camping","Cooking","Weight lifting","Going to movies","Playing a musical instrument","Raising pets","Working on cars","Going to shows and plays","Knitting","Going out on dates","“Thriller” movies","Romance movies","Going out to dinner with friends","Going to museums","House plants","Drag racing","Collecting coins","Collecting stuffed animals","Collecting pictures of friends and family"
"119","Female","White","18-19","1st","Political Science","right",NA,"20/16",NA,"40",0.101240779305036,0.104296806668282,0.0176589720369996,0.165708307093168,0.194088376970547,0.0731902109974592,7.25,13,28,8,4.13636363636364,3.2,3.65,0.486363636363637,-0.45,3,5,5,2,5,5,4,4,3,2,4,4,5,5,4,5,5,4,5,5,4,1,2,5,1,3,5,2,1,4,1,4,3,4,4,2,4,4,4,4,4,2,3,2,4,3,4,2,4,2,5,4,5,5,5,5,3,2,4,5
"110","Female","Black","18-19","1st","Psychology and BioBehavioral Health","left",NA,"20/16",NA,"40",0.108941437595919,0.108550001352596,0.0067023308651914,0.230069307192277,0.230949497323159,0.0712668170378147,6,10,15,2,4.18181818181818,3.6,3.86666666666667,0.315151515151515,-0.266666666666667,2,4,5,2,5,4,5,4,1,3,3,5,5,5,4,5,5,5,5,5,4,3,4,3,3,4,5,3,3,5,3,4,5,3,5,3,4,5,5,3,5,3,5,2,5,2,2,2,5,2,4,5,5,5,4,3,3,2,4,5
"121","Male","White","18-19","1st","Supply Chain Management","right",NA,"20/16",NA,"40",0.0991649570648404,0.104963122464618,0.0162243005492062,0.147198716218844,0.147202725223062,0.00540312144558858,8.5,14,30,12,3.31818181818182,4.8,3.93333333333333,-0.615151515151515,0.866666666666667,5,2,1,2,5,5,5,3,4,1,5,5,5,4,5,5,4,4,5,5,1,2,4,5,5,1,5,1,1,5,5,3,5,5,5,4,4,5,5,5,5,5,4,5,5,3,5,5,3,1,5,5,4,5,3,3,5,3,1,5
"123","Female","White","20-21","2nd","Psychology","right",NA,"20/16",NA,"40",0.0649569353865048,0.0658583934101097,0.00724523877878333,0.178179721539238,0.182696592527051,0.0398500216370414,14.75,19,24,11,3.68181818181818,2.73333333333333,3.31666666666667,0.365151515151515,-0.583333333333333,2,4,4,4,5,5,5,3,3,2,3,5,5,4,3,5,4,3,4,5,4,3,2,3,2,3,2,1,1,4,4,3,5,3,2,1,4,4,4,3,3,4,5,2,4,3,5,1,4,2,5,1,5,5,3,3,1,1,1,5
"125","Female","White","18-19","1st","Biobehavioral Health","right",NA,"20/16",NA,"40",0.118151249721571,0.115970496332279,0.0105275210696942,0.180458915613266,0.218529608624813,0.0905733365349129,7.5,13,28,9,3.45454545454545,2.86666666666667,3.23333333333333,0.221212121212121,-0.366666666666667,4,4,4,2,5,3,4,2,4,3,4,4,5,5,5,2,3,2,3,4,3,1,1,3,2,4,5,1,1,4,3,5,5,3,3,4,4,3,4,1,5,1,5,4,4,5,5,1,4,2,4,2,3,5,1,2,1,1,2,5
"127","Female","White","20-21","3rd","psychology","right",NA,"20/16",NA,"40",0.1694241960222,0.179076034476879,0.0558715659406304,0.139710348022251,0.141104107945918,0.00671127352425403,6,12,21,4,3.31818181818182,3.33333333333333,3.26666666666667,0.0515151515151517,0.0666666666666669,1,2,4,1,4,4,5,3,2,1,3,4,4,4,5,5,3,2,2,4,1,1,5,5,2,2,4,1,1,3,4,2,5,3,3,2,5,5,5,3,5,3,4,5,2,3,5,3,3,2,5,5,5,5,4,4,2,1,1,4
"320","Female","White","18-19","1st","bachelor of fine arts in acting","right",NA,"20/16",NA,"40",0.0937519172460533,0.0920912193582944,0.00429524481972067,0.163175097867754,0.160216635611771,0.0206060748527344,9.25,11,28,11,4.13636363636364,2.66666666666667,3.5,0.636363636363637,-0.833333333333333,2,5,5,5,5,4,5,4,4,2,3,2,5,5,4,5,5,3,4,4,4,1,4,3,2,5,4,1,1,5,1,1,5,1,1,4,4,4,3,1,5,3,5,3,5,4,5,2,5,2,4,5,5,5,4,4,1,1,1,5
"112","Female","White","20-21","3rd","psychology","right",NA,"20/16",NA,"40",0.0856212131098237,0.113736980306714,0.066051225100038,0.191831746140243,0.264884439517065,0.162687568053099,5,11,35,16,3.04545454545455,2.53333333333333,2.83333333333333,0.212121212121212,-0.3,5,5,2,4,4,4,4,4,1,1,1,2,2,2,2,5,5,3,5,4,1,1,5,1,1,1,5,1,1,5,2,1,5,4,1,1,1,4,2,1,1,1,5,1,5,5,1,1,5,1,5,5,5,5,5,5,2,1,1,1
"114","Female","White","18-19","1st","undecided","right",NA,"20/16",NA,"40",NA,NA,NA,0.283401175955111,0.317506085047587,0.16490223312902,3.75,10,15,1,3.54545454545455,2.93333333333333,3.33333333333333,0.212121212121212,-0.4,3,4,4,4,5,4,5,2,4,1,1,4,3,4,2,5,5,5,5,5,4,2,3,3,3,3,4,2,2,4,4,3,3,4,3,3,4,4,2,3,3,3,3,2,4,3,5,1,4,3,3,4,4,5,2,3,1,2,3,4
"129","Female","Asian","18-19","1st","Marketing","right",NA,"20/16",NA,"40",0.108045191027504,0.105591238484805,0.0165459136509656,0.146987491936603,0.149044894762881,0.0116463233797819,2.75,9,30,11,4,2.8,3.55,0.45,-0.75,2,2,3,1,5,3,5,4,3,2,4,3,4,3,5,5,3,2,4,4,4,4,2,4,2,4,5,2,2,5,4,2,5,1,3,2,5,3,4,4,5,5,5,3,5,4,5,2,3,2,4,5,5,5,4,4,2,2,4,5
"324","Female","White","18-19","1st","human development and family studies","right",NA,"20/16",NA,"40",0.09566676153368,0.0972689998948737,0.00632417780173273,0.1501958407375,0.150176847637906,0.00892436456002648,6,12,36,16,3.45454545454545,2.86666666666667,3.18333333333333,0.271212121212121,-0.316666666666666,3,5,5,1,5,5,5,3,2,1,1,1,5,3,1,5,3,3,5,5,3,3,4,1,1,5,2,1,1,3,4,4,5,3,4,1,4,4,3,1,4,4,4,2,4,5,4,1,4,1,4,5,4,5,4,5,2,1,1,3
"116","Female","Asian","22-23","4th","PSYCH","right",NA,"20/16",NA,"40",0.105162639208408,0.10466007933043,0.0106063292021095,0.213260736495859,0.263994736133835,0.120909687607515,4.75,11,16,3,3.22727272727273,2.6,2.96666666666667,0.26060606060606,-0.366666666666667,4,3,2,2,3,3,4,3,4,2,3,3,3,3,2,4,4,2,4,3,3,3,2,4,2,4,3,2,2,3,3,3,4,3,1,2,3,3,3,2,2,2,4,3,4,3,4,2,4,3,3,4,4,4,3,3,2,2,3,3
"131","Female","Hispanic/Latino","18-19","2nd","Psychology","right",NA,"20/16",NA,"80",0.0942738313608109,0.0983440311451383,0.00913420053945385,0.143475891564679,0.152566895628343,0.0190349713261267,8.75,14,27,13,3.95454545454545,3,3.48333333333333,0.471212121212121,-0.483333333333333,3,5,4,2,3,3,4,5,3,3,4,4,4,4,4,4,3,3,4,4,5,5,3,3,2,3,3,1,1,4,3,4,3,2,4,3,4,3,4,4,3,4,4,3,4,3,4,2,4,3,4,4,5,5,5,4,3,2,2,4
"118","Female","White","18-19","1st","Biobehavioral Health","right",NA,"20/16",NA,"40",0.100206918736136,0.101007337415681,0.00385059864133199,0.168351402140284,0.173428246330656,0.010750926497061,13.5,18,33,13,3.45454545454545,3.4,3.53333333333333,-0.0787878787878786,-0.133333333333333,4,3,5,5,5,5,5,3,2,1,4,4,5,3,4,5,4,4,5,4,5,5,5,4,1,2,5,1,1,3,2,2,5,3,5,2,5,5,3,3,4,2,2,4,5,2,4,1,4,2,5,5,5,5,2,3,2,2,2,4
"133","Female","White","18-19","1st","Athletic Training","right",NA,"20/16",NA,"40",0.0924810241709711,0.0930316815091254,0.011048238153146,0.167049052690506,0.165220259658215,0.0244588065877085,4.75,11,23,3,3.22727272727273,4.06666666666667,3.45,-0.222727272727273,0.616666666666666,4,3,3,4,5,4,5,1,1,1,5,5,5,5,5,5,4,3,5,5,1,1,3,4,4,2,5,1,1,5,4,3,5,4,5,1,5,5,5,4,5,2,4,4,3,1,2,2,3,1,5,4,4,5,2,2,5,1,1,5
"120","Female","Asian","18-19","1st","Computer Science","right",NA,"20/16",NA,"40",0.109726655166015,0.104412289379023,0.0147800602232704,0.163790071349366,0.164391323509889,0.0115816217298855,4.75,11,25,5,3.95454545454545,2.8,3.6,0.354545454545454,-0.8,1,5,4,2,5,4,5,5,1,2,3,4,3,4,3,5,4,4,5,5,2,4,4,3,2,4,5,2,4,5,1,5,5,3,4,3,4,4,3,5,2,1,4,2,5,2,2,2,4,3,4,5,4,5,4,5,3,4,4,5
"330","Male","White","18-19","2nd","undecided","right",NA,"20/20",NA,"40",0.0729424191332289,0.0711133652409213,0.0127744463038743,0.151992392094473,0.16062385239722,0.0241210538017536,12.5,17,25,11,4.09090909090909,4.4,4.16666666666667,-0.0757575757575761,0.233333333333333,5,5,5,3,4,5,4,4,5,5,5,4,5,3,4,5,4,4,5,5,3,4,3,5,4,3,5,3,3,4,4,4,5,4,4,4,3,3,5,3,5,4,4,5,4,5,5,5,4,3,5,4,4,5,3,5,4,3,3,5
"135","Female","White","18-19","1st","Criminology","either",NA,"20/16",NA,"100",0.0901080509291451,0.089168000010821,0.00550365718450001,0.150268596343204,0.149425075372861,0.00700849549822413,10,15,20,2,3.72727272727273,2.86666666666667,3.45,0.277272727272727,-0.583333333333333,2,3,4,4,4,4,4,3,2,3,3,4,4,4,4,5,4,4,4,5,3,4,4,3,3,4,5,2,3,4,1,4,4,3,3,1,4,4,2,3,3,3,4,2,4,4,5,2,4,3,4,4,4,5,3,4,3,2,2,4
"122","Female","White","23+","4th","Psychology","either",NA,"20/16",NA,"40",0.126695928790844,0.144601375981497,0.0454406789776525,0.162229955621471,0.161759951480987,0.0116193115413033,13.5,18,18,2,3.18181818181818,1.66666666666667,2.55,0.631818181818182,-0.883333333333333,1,4,4,3,4,4,3,3,3,1,3,2,2,5,3,4,1,3,4,5,2,1,1,3,1,1,2,1,1,5,1,4,5,1,1,1,3,4,3,1,1,1,4,2,3,1,5,1,1,1,3,3,3,5,2,3,1,1,4,4
"124","Male","Prefer not to answer","20-21","1st","mechanical engineering","right",NA,"20/16",NA,"40",0.0686058822663824,0.0693836691586408,0.0104298321174604,0.168926783983637,0.16887832426331,0.0354933732181346,3,9,37,17,3.45454545454545,4.2,3.46666666666667,-0.0121212121212122,0.733333333333333,5,4,4,1,3,5,5,4,1,3,3,4,4,4,3,4,5,5,4,3,2,3,4,3,5,4,4,1,1,4,3,4,3,3,4,1,4,3,3,3,4,2,4,5,5,4,3,5,4,1,3,4,3,5,4,3,4,1,3,5
"137","Female","White","18-19","1st","Advertising and History","right",NA,"20/16",NA,"40",0.0986545823497456,0.0987612679783132,0.00472000563942153,0.151318635625741,0.156165535664059,0.0191679763927684,14.75,19,28,10,4.36363636363636,3.66666666666667,4.13333333333333,0.23030303030303,-0.466666666666667,3,4,5,5,5,5,4,5,5,3,3,4,4,3,3,5,3,2,4,5,4,5,5,3,3,5,4,3,3,4,3,3,5,4,5,5,5,5,5,3,5,5,4,3,5,5,5,3,5,3,4,5,5,5,5,5,3,3,3,5
"139","Female","White","18-19","1st","undecided","right",NA,"20/16",NA,"50",NA,NA,NA,0.177412688829228,0.172124888330678,0.017803988907517,13.5,18,17,4,4,3.06666666666667,3.8,0.2,-0.733333333333333,1,5,5,5,5,5,5,4,1,4,5,4,5,5,3,5,5,5,5,5,2,4,5,5,1,5,3,2,2,5,1,5,5,4,2,1,5,5,2,5,3,4,5,4,5,3,5,1,5,5,5,5,2,5,5,5,2,1,1,1
"335","Male","Asian","20-21","4th","Mechanical engineering","right",NA,"20/16",NA,"40",0.072201788667338,0.0724845991186162,0.0108888084590904,0.141475506041931,0.116983083638177,0.0652749460230385,10.75,14,36,17,3.18181818181818,3.26666666666667,3.31666666666667,-0.134848484848485,-0.0500000000000003,2,4,2,1,4,5,4,4,3,1,3,2,4,3,3,5,5,5,4,3,3,5,3,4,3,3,3,2,2,2,4,4,4,3,3,2,3,3,2,4,3,5,4,3,4,3,5,3,3,3,5,3,3,5,4,3,2,3,2,4
"336","Male","White","18-19","1st","Computer science","right",NA,"20/16",NA,"40",0.0718145370549468,0.0731488810094563,0.0091733721309912,0.1455608200476,0.146643089301337,0.0116185020165471,18.5,20,40,20,2.63636363636364,3.33333333333333,3,-0.363636363636364,0.333333333333333,4,5,2,5,1,5,4,5,3,4,1,3,3,2,3,4,5,5,4,1,1,5,5,3,5,3,2,1,1,4,3,5,1,4,3,2,1,2,1,5,2,4,1,1,5,4,2,3,3,1,3,5,1,5,4,2,3,1,1,3
"337","Male","Asian","18-19","1st","Biochemistry","right",NA,"20/20",NA,"60",0.0876614105997943,0.0951972314181627,0.0250968172093333,0.172056935203221,0.171295452855215,0.00737912714625621,7.25,13,33,15,3.22727272727273,3.26666666666667,3.13333333333333,0.0939393939393938,0.133333333333333,4,3,2,3,1,5,3,4,1,1,1,4,4,5,1,5,5,5,5,5,1,4,3,3,3,4,1,5,3,3,3,2,4,3,5,1,4,1,4,1,2,3,5,1,5,4,5,2,3,1,2,1,1,5,5,3,3,5,2,5
"338","Female","White","18-19","2nd","psychology","right",NA,"20/20",NA,"60",0.10943863888291,0.145552084284758,0.0761528320577794,0.173960349630595,0.203689788650734,0.0854044111970073,9,10,30,12,4,2.66666666666667,3.41666666666667,0.583333333333333,-0.75,2,4,4,1,4,2,4,4,2,3,3,2,2,4,4,5,4,3,4,5,5,3,3,3,2,4,4,3,2,4,2,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,4,1,4,4,5,4,4,5,4,5,2,2,2,4
"339","Female","White","18-19","1st","communications","right",NA,"20/16",NA,"40",0.0878978553285014,0.0867796908776869,0.0037270929917229,0.217974902260194,0.249544523899166,0.117525038487164,13.5,18,24,8,3.68181818181818,2.86666666666667,3.45,0.231818181818181,-0.583333333333333,2,5,4,1,5,4,5,3,2,1,4,3,4,4,3,5,4,2,5,5,2,2,2,3,2,2,4,2,2,5,3,5,4,2,2,2,4,4,4,5,4,3,4,3,5,3,5,2,4,3,4,5,4,5,4,4,3,2,3,5
"340","Male","Asian","20-21","3rd","Computational Data Sciences","right",NA,"20/25",NA,"40",0.0800948127636196,0.0790521138942673,0.00704364918897714,0.149298225789646,0.149100578631899,0.00334322403850625,16,20,28,9,2.40909090909091,3.13333333333333,2.81666666666667,-0.407575757575758,0.316666666666666,3,1,1,3,1,5,3,1,1,1,4,3,4,3,1,4,5,4,4,2,3,4,4,4,2,3,4,3,3,4,3,1,4,2,1,3,2,1,1,4,1,3,5,5,3,3,5,3,1,1,3,3,3,4,1,1,4,3,4,3
"342","Female","White","20-21","3rd","Psychology - Neuroscience","right",NA,"20/16",NA,"40",0.0974798220508006,0.101109600249369,0.0153441309639418,0.166364506336649,0.190291290691006,0.0679963387109272,13.5,18,26,9,3.36363636363636,3.53333333333333,3.31666666666667,0.0469696969696969,0.216666666666666,3,3,1,1,5,4,5,3,2,1,3,3,4,5,1,5,4,4,5,5,2,2,5,3,4,1,2,1,1,3,3,3,5,4,2,1,5,5,4,5,4,1,5,1,5,1,5,3,3,3,5,5,5,5,3,4,5,1,2,5
"343","Male","White","18-19","1st","English/Secondary Education","right",NA,"20/20",NA,"400",0.0705376642278656,0.0714016148591038,0.00779885388216042,0.149810831709019,0.150295814066159,0.00580051985659484,21,22,26,12,3.45454545454545,3.53333333333333,3.46666666666667,-0.0121212121212122,0.0666666666666664,3,4,2,2,3,3,4,4,2,1,3,4,4,3,4,5,4,5,5,2,2,4,4,3,4,4,1,2,2,3,4,5,4,3,3,3,2,2,4,4,4,3,5,3,4,3,5,3,4,4,5,5,4,5,4,4,3,3,3,4
"344","Female","White","18-19","1st","undecided","right",NA,"20/16",NA,"40",0.0783886782030712,0.0751774322770646,0.0108810221830996,0.163460045922026,0.182840953650368,0.053820406365022,11,16,27,8,3.95454545454545,3.73333333333333,3.95,0.00454545454545441,-0.216666666666667,4,2,4,4,5,5,5,4,3,2,3,4,5,3,3,5,5,4,5,2,4,2,5,5,4,5,5,2,4,5,5,2,5,2,2,3,5,5,5,5,5,5,5,2,5,4,5,2,5,1,5,5,5,5,4,5,3,2,2,5
"345","Male","Asian","18-19","1st","Secondary English Education","right",NA,"20/16",NA,"40",0.0738209317025741,0.0756721363321711,0.00939290326293482,0.155670701171575,0.15398320112317,0.0127227731685791,3,5,40,20,3.86363636363636,3.53333333333333,3.7,0.163636363636364,-0.166666666666667,3,3,4,2,2,5,5,4,2,5,3,3,4,5,3,5,5,5,5,4,4,5,5,3,2,5,3,3,4,4,4,3,2,4,3,4,3,4,3,3,3,4,4,3,5,5,4,2,5,4,5,5,2,5,4,4,3,3,1,3
"341","Female","White","18-19","2nd","psychology and neuroscience","right",NA,"20/20",NA,"50",0.0978785844553491,0.0983350899889993,0.00313488686187598,0.172741217962208,0.182938485457362,0.0374268140008046,6,12,20,2,3.95454545454545,2.93333333333333,3.4,0.554545454545455,-0.466666666666667,3,4,4,2,5,3,4,4,3,3,3,4,5,5,4,5,4,2,5,5,3,2,2,1,1,3,4,1,1,5,3,3,5,2,4,1,5,5,5,3,5,2,5,5,4,2,5,1,4,1,5,4,4,5,3,2,1,1,4,5
"346","Male","Asian","18-19","1st","Biology","either","none","20/20",NA,"40",0.0627638440371416,0.0624299734634649,0.00789685817959975,0.180314484894975,0.200255934903923,0.0652890646953732,7,9,28,11,3.95454545454545,3.86666666666667,3.86666666666667,0.0878787878787879,0,3,4,3,3,5,5,5,4,2,3,4,4,5,4,3,5,5,4,3,4,5,5,3,3,3,4,4,3,2,5,5,5,3,2,5,2,5,3,5,3,5,4,5,3,5,3,3,3,4,3,5,4,5,5,5,3,3,4,4,3
"347","Female","White","18-19","1st","Kinesiology","right","none","20/16",NA,"40",0.0890649902531303,0.0915382371122142,0.00551121621853286,0.165464586112143,0.199266258754972,0.0883516254145473,9.75,15,31,12,3.81818181818182,2.33333333333333,3.15,0.668181818181818,-0.816666666666666,1,4,5,1,5,4,2,2,4,1,1,4,4,5,2,5,4,2,5,5,4,4,1,3,1,4,4,2,2,4,1,1,5,4,2,2,5,5,4,1,4,4,5,4,4,2,5,1,4,4,4,1,4,5,2,4,1,1,1,4
"348","Female","White","18-19","1st","undecided","either","none","20/20",NA,"800",0.0860136475862422,0.0854278415065729,0.00625601414012184,0.167410868884052,0.162878274087386,0.0238710134593126,16,20,30,11,3.81818181818182,4.2,3.91666666666667,-0.0984848484848482,0.283333333333334,4,4,5,4,5,5,4,5,2,1,5,5,4,4,4,5,4,4,5,5,4,3,3,4,5,5,5,2,3,4,4,3,5,4,4,2,3,5,5,5,5,3,5,3,4,4,5,4,3,3,4,3,3,5,5,3,4,2,2,3
"349","Female","Prefer not to answer","18-19","1st","biomedical engineering","right","glasses/contacts","20/20",NA,"60",0.0966100765568531,0.122773698691201,0.0565624863421061,0.143372578338201,0.144482480363849,0.00442622701396961,0.75,3,26,9,4.04545454545455,2.4,5.26666666666667,-1.22121212121212,-2.86666666666667,1,5,3,4,5,5,5,4,3,4,3,5,5,5,3,5,5,5,5,5,5,4,3,99,1,3,3,5,3,4,2,5,3,3,2,3,3,3,1,4,1,3,2,1,5,4,5,2,1,4,5,4,5,5,5,5,1,4,5,5
"350","Female","White","20-21","3rd","Communication Sciences and Disorders","right","glasses/contacts","20/20",NA,"40",0.114275979261802,0.143598093151618,0.06073674276797,0.26498203829512,0.270496175444814,0.145149322882105,3.5,10,27,7,3.59090909090909,1.86666666666667,3.03333333333333,0.557575757575758,-1.16666666666667,2,5,3,3,4,5,4,2,1,1,1,1,4,4,3,5,4,2,5,5,2,1,2,4,1,3,4,1,1,5,3,5,4,1,1,1,5,4,2,5,1,2,5,1,5,2,5,1,5,1,5,4,5,5,3,4,1,1,2,5
"351","Female","White","20-21","3rd","Psychology","right","none","20/16",NA,"40",0.0932321069658443,0.0978209088196691,0.0160589231545665,0.218795065968056,0.27638571675647,0.148991084531266,6,12,23,7,3.5,2.66666666666667,3.21666666666667,0.283333333333333,-0.55,2,4,4,3,4,4,4,2,2,2,2,4,4,4,2,5,4,3,4,5,4,4,3,2,2,3,3,2,2,3,2,3,4,2,3,2,4,4,3,3,4,3,4,2,4,2,5,2,4,2,4,4,5,5,4,2,2,2,2,5
"352","Female","White","18-19","2nd","psychology","left","glasses/contacts","20/16",NA,"40",0.152651239260805,0.148342235232625,0.0509469669079564,0.149162072184226,0.182099083565166,0.0724060808945083,7.75,10,26,11,4,2.86666666666667,3.51666666666667,0.483333333333333,-0.65,2,5,3,5,5,5,5,5,3,3,2,5,5,4,3,5,4,3,5,5,3,2,2,3,2,4,3,2,3,5,3,5,3,3,3,1,4,3,2,2,3,4,4,3,4,2,3,3,5,3,5,2,4,5,3,4,3,3,3,5
"354","Female","Black","18-19","1st","Information Sciences and Technology","right","none","20/16",NA,"40",0.145962702161555,0.167693619308849,0.0693064222793521,0.219330525368681,0.229970728027296,0.0732845671856492,7.25,13,15,1,3.40909090909091,1.8,4.13333333333333,-0.724242424242425,-2.33333333333333,2,4,1,1,4,3,2,4,5,3,1,2,3,5,2,4,4,1,5,5,4,3,2,1,1,2,1,1,1,3,2,99,2,1,2,5,5,3,2,2,2,1,4,2,4,1,1,1,1,1,3,1,4,4,4,3,1,1,1,5
"353","Female","White","20-21","3rd","Biobehavioral Health and Psychology","right","none","20/16",NA,"40",0.103022151473369,0.106018378926728,0.0182086749378886,0.160133565050622,0.172129432533881,0.0453816661101754,11,16,25,11,3.45454545454545,2.46666666666667,3.13333333333333,0.321212121212121,-0.666666666666667,2,5,4,4,4,2,4,4,2,2,1,2,2,4,2,5,3,2,4,4,4,2,4,4,2,4,4,1,1,3,3,4,4,3,2,2,2,4,3,4,2,4,4,4,4,4,4,2,4,2,3,4,4,4,4,5,2,1,1,4
"355","Female","White","18-19","1st","BBH","right","glasses/contacts","20/16",NA,"40",0.0803149561967137,0.0798380361873657,0.00141935578159156,0.156619888519509,0.1574881166218,0.0148592442945992,14.75,19,33,15,3.81818181818182,3.33333333333333,3.56666666666667,0.251515151515151,-0.233333333333333,2,4,5,2,5,5,5,1,4,1,4,5,5,4,4,5,5,4,5,5,4,1,4,4,2,5,5,1,1,5,4,4,4,2,5,4,4,2,4,5,5,4,4,2,4,2,4,1,5,1,4,4,5,5,1,4,1,1,3,4
"356","Male","Black","20-21","2nd","Psychology","right","none","20/16",NA,"40",0.0741119870007733,0.0740789860618465,0.007160396657832,0.151533706916295,0.154399830893526,0.0153693980313925,10,15,25,8,3.18181818181818,3.46666666666667,3.31666666666667,-0.134848484848485,0.15,4,2,4,3,5,2,5,2,5,5,3,4,4,3,3,5,4,5,5,2,2,2,3,3,2,3,3,2,2,2,3,3,5,4,4,4,3,4,5,2,5,3,3,3,3,4,4,2,3,2,4,3,2,4,2,3,3,3,3,4
"357","Male","White","23+","1st","premedicine","right","none","20/16",NA,"60",0.0937760529745963,0.0937390156037347,0.0064524817477257,0.157127847866181,0.162257653600575,0.0220823148807071,14.75,19,21,4,2.5,4.26666666666667,3.58333333333333,-1.08333333333333,0.683333333333333,2,5,2,5,5,5,5,3,2,1,3,3,4,1,4,5,5,5,5,1,1,5,5,4,5,2,5,1,5,4,3,5,5,4,4,1,1,4,5,5,5,5,4,3,5,3,5,5,2,1,5,5,1,5,4,1,5,1,1,4
"358","Female","White","20-21","2nd","psychology life sciences","right","none","20/16",NA,"40",0.132175389069394,0.141674998178211,0.0716045587156754,0.158578760789927,0.19687258714441,0.0895940600083097,11.25,16,27,9,3.68181818181818,3,3.35,0.331818181818182,-0.35,3,5,2,1,5,5,4,3,2,4,3,3,4,3,3,5,3,3,4,3,3,3,3,3,2,4,3,1,1,4,4,5,5,3,3,3,4,3,3,3,3,3,4,3,4,1,5,1,5,3,4,4,4,5,3,4,3,2,4,5
"359","Female","White","18-19","2nd","Psychology","right","glasses/contacts","20/16",NA,"40",0.0843126587767778,0.0828500042998275,0.00864462628477027,0.169608149541265,0.17014280724454,0.0235534235601918,8.75,10,40,20,2.54545454545455,2.13333333333333,2.33333333333333,0.212121212121212,-0.2,1,3,2,1,2,3,4,2,1,2,2,3,2,4,3,4,3,4,3,4,2,2,2,1,1,3,3,1,1,4,2,2,4,5,1,1,2,2,3,2,1,1,4,2,2,5,3,1,3,2,4,2,2,3,2,2,1,1,1,1
"360","Female","Hispanic/Latino","18-19","1st","RHS","either","none","20/32",NA,"40",0.0912350063637518,0.0902089211285867,0.00249922296641149,0.160909990028647,0.168956715318982,0.0259250543545212,3.5,10,26,8,4.31818181818182,2.93333333333333,3.86666666666667,0.451515151515152,-0.933333333333334,1,5,5,2,5,4,5,5,4,3,3,5,4,4,3,5,3,3,5,5,3,2,2,3,3,5,5,3,3,4,2,4,5,3,5,3,5,5,3,3,3,4,4,4,5,5,5,2,5,3,5,5,5,5,5,3,3,2,4,5
"361","Female","White","18-19","1st","Labor and Employment relations","right","none","20/16",NA,"40",0.0991212953699802,0.0985295547847365,0.00252266816100538,0.15315156807411,0.151465405082377,0.0085426176046602,4.75,11,39,19,3.09090909090909,2.66666666666667,2.75,0.340909090909091,-0.0833333333333335,2,3,2,1,1,5,3,4,3,1,1,3,4,3,1,3,3,5,4,3,1,1,3,4,2,5,1,1,1,5,5,1,4,1,1,2,5,3,4,5,5,1,2,1,3,1,5,1,3,2,4,4,1,5,4,3,1,1,3,5
"362","Female","Asian","22-23","1st","Graphic Design","either","glasses/contacts","20/16",NA,"40",0.0978216820436328,0.0964879815973664,0.00966923738956915,0.181365072136771,0.185036858776856,0.0442310659560355,7.25,13,32,12,3.63636363636364,2.73333333333333,3.31666666666667,0.319696969696969,-0.583333333333333,3,4,4,4,4,5,5,5,1,3,3,3,4,3,4,3,3,3,4,4,4,4,4,3,2,4,3,2,3,3,3,4,5,2,3,1,4,4,2,4,2,2,3,4,5,3,1,1,5,3,4,5,5,5,5,2,1,1,3,3
"363","Female","Asian","18-19","1st","biobehavioral health","right","glasses/contacts","20/20",NA,"40",0.0896270222480199,0.0906482271895117,0.0059908483455575,0.166003437334408,0.175659862512915,0.0261559011942199,7.25,13,27,10,3.68181818181818,2.8,3.25,0.431818181818182,-0.45,1,4,4,3,5,5,5,4,1,3,2,1,5,5,2,5,5,3,4,5,3,2,5,2,1,4,5,1,1,3,2,3,5,4,1,1,5,5,3,2,4,3,5,1,3,2,5,1,2,2,4,4,3,5,5,5,4,1,2,4
"364","Female","Black","18-19","1st","Political Science / Theatre","right","glasses/contacts","20/20",NA,"40",0.0835103414824324,0.0839387655923826,0.00533894697646243,0.148610978001745,0.156296372352814,0.0185553092229085,8.5,14,32,12,4.04545454545455,2.66666666666667,3.36666666666667,0.678787878787879,-0.7,2,4,4,4,2,4,4,4,3,5,3,3,4,4,3,5,4,4,5,5,2,2,3,2,2,5,4,2,5,4,2,3,2,3,4,4,4,1,3,2,1,1,4,1,5,5,2,2,5,2,4,4,4,5,5,4,2,4,2,5
