Sex,log_contrast,log_motion,mental_rot
Female,-1.3271532493256033,-2.5002007713395766,27
Female,-1.9427730998656654,-2.238095952109853,23
Male,-1.7459340894958773,-2.353263737625562,30
Male,-1.8505908352518128,-2.6876814194531775,23
Male,-1.8377145046171444,-2.6842546736354116,27
Female,-1.715949038547171,-2.0687231503415315,18
Male,-1.747065661459029,-2.4256944317847133,27
Male,-1.861858874108622,-2.784809329332037,21
Female,-1.8101287324343454,-2.38537397531202,28
Female,-1.8889391388176675,-2.4438959364282633,32
Female,-1.7100924059020253,-2.057057245960057,34
Female,-1.606253538941244,-2.2860548252355737,29
Female,-1.3888125830363653,-1.6205032226831388,18
Male,-1.9562027348440316,-2.3015943968554033,36
Male,-1.757748950952151,-1.7522292986006138,39
Female,-1.5226354898437335,-2.2616490787017764,26
Female,-1.8870213453453666,-2.4424348874302177,24
Female,-1.870771120848369,-2.430015562432909,30
Female,-1.9167959601242246,-2.6531270563878038,26
Female,-1.8867173291109773,-2.375055855744958,28
Female,-1.845751873315318,-2.165438447505457,21
Female,-1.309052853490733,-2.056965701635703,19
Female,-1.8161674694002965,-2.4587908978416797,15
Female,-1.8903383731198753,-2.268448718451725,18
Female,-1.6854365815386723,-2.2225457987605934,27
Female,-1.8039615168992034,-2.3599083522149447,17
Female,-1.644141400965791,-2.4335720526195344,18
Female,-1.9335704024769431,-2.5277993317977394,39
Male,-1.598229720478005,-2.65232454669797,26
Male,-1.7601608219854272,-2.5914669536591464,28
Female,-1.7132223024742486,-2.4252816021523596,37
Male,-1.9667612028867687,-2.5491200144547856,29
Female,-1.6018850929970077,-2.182314330830074,32
Female,-1.8168145380989689,-2.3991176001215107,26
Female,-1.9122287189485485,-2.281987115500979,29
Female,-1.6170270079597002,-2.32357699634229,21
Female,-1.4235833637198785,-2.492176759581824,30
Female,-1.9116534079226644,-2.314139280809025,20
Female,-1.963669418352777,-2.30952850953473,32
Female,-1.5905794321045232,-1.9878124294965491,24
Male,-1.7978645714620733,-2.4037629815417523,26
Female,-1.5555363517969065,-1.7106089886096787,18
Female,-1.7055995249123617,-2.346090695099136,30
Female,-1.7962444618498814,-2.29024243764094,32
Male,-1.9115099938816058,-2.4983090095923512,29
Female,-1.9448585943950099,-2.3328273104977417,28
Female,-1.766186697893774,-2.364477658273361,34
Female,-1.9223575660582262,-2.4647834826170523,30
Male,-1.8621408631075855,-2.4137881476989804,30
Female,-1.9656512309011822,-2.341669880486077,37
Female,-1.8040604958076472,-2.4507545366097165,19
Female,-1.7951535581392994,-2.2914849093228464,24
Female,-1.6444559222342021,-2.206272254171289,36
Female,-1.82396647337397,-2.5157487331651196,27
Male,-1.299613072004864,-1.6714686454102536,21
Female,-1.4833657715256265,-2.0817769002148805,23
Male,-1.9392197320538562,-2.1944559483828385,36
Female,-1.703492164477698,-2.4129994026608332,27
Female,-1.3794265538177028,-2.3975724690436735,20
Female,-1.282999139783031,-2.178706760183213,25
