45.3534 	EXP 	fixation: autoDraw = False
45.3534 	EXP 	grating: autoDraw = False
45.3534 	EXP 	grating: color = '[0.05598187 0.05598187 0.05598187] (rgb)'
45.3534 	EXP 	grating: size = array([3.6, 3.6])
45.3534 	EXP 	grating: ori = 0.0
45.3534 	EXP 	grating: sf = array([12., 12.])
45.3535 	EXP 	window1: recordFrameIntervals = False
45.6202 	EXP 	fixation: autoDraw = True
46.1055 	EXP 	fixation: autoDraw = False
46.3562 	EXP 	grating: autoDraw = True
46.8560 	DATA 	Keypress: up
46.8573 	EXP 	window1: recordFrameIntervals = False
46.8714 	EXP 	fixation: autoDraw = False
46.8714 	EXP 	grating: autoDraw = False
46.8714 	EXP 	grating: color = '[0.56822716 0.56822716 0.56822716] (rgb)'
46.8714 	EXP 	grating: size = array([3.6, 3.6])
46.8714 	EXP 	grating: ori = 0.0
46.8714 	EXP 	grating: sf = array([12., 12.])
46.8715 	EXP 	window1: recordFrameIntervals = False
47.1385 	EXP 	fixation: autoDraw = True
47.6245 	EXP 	fixation: autoDraw = False
47.8745 	EXP 	grating: autoDraw = True
48.2434 	DATA 	Keypress: up
48.2447 	EXP 	window1: recordFrameIntervals = False
48.2587 	EXP 	fixation: autoDraw = False
48.2587 	EXP 	grating: autoDraw = False
48.2587 	EXP 	grating: color = '[0.56822716 0.56822716 0.56822716] (rgb)'
48.2587 	EXP 	grating: size = array([3.6, 3.6])
48.2587 	EXP 	grating: ori = 90.0
48.2587 	EXP 	grating: sf = array([1.2, 1.2])
48.2588 	EXP 	window1: recordFrameIntervals = False
48.5248 	EXP 	fixation: autoDraw = True
49.0075 	EXP 	fixation: autoDraw = False
49.2733 	EXP 	grating: autoDraw = True
49.8582 	DATA 	Keypress: right
49.8596 	EXP 	window1: recordFrameIntervals = False
49.8742 	EXP 	fixation: autoDraw = False
49.8742 	EXP 	grating: autoDraw = False
49.8742 	EXP 	grating: color = '[0.06922716 0.06922716 0.06922716] (rgb)'
49.8742 	EXP 	grating: size = array([3.6, 3.6])
49.8742 	EXP 	grating: ori = 0.0
49.8742 	EXP 	grating: sf = array([1.2, 1.2])
49.8744 	EXP 	window1: recordFrameIntervals = False
50.1269 	EXP 	fixation: autoDraw = True
50.6269 	EXP 	fixation: autoDraw = False
50.8772 	EXP 	grating: autoDraw = True
51.3792 	DATA 	Keypress: up
51.3806 	EXP 	window1: recordFrameIntervals = False
51.3943 	EXP 	fixation: autoDraw = False
51.3943 	EXP 	grating: autoDraw = False
51.3943 	EXP 	grating: color = '[0.06922716 0.06922716 0.06922716] (rgb)'
51.3943 	EXP 	grating: size = array([3.6, 3.6])
51.3943 	EXP 	grating: ori = 0.0
51.3943 	EXP 	grating: sf = array([12., 12.])
51.3944 	EXP 	window1: recordFrameIntervals = False
51.6611 	EXP 	fixation: autoDraw = True
52.1439 	EXP 	fixation: autoDraw = False
52.4112 	EXP 	grating: autoDraw = True
53.1280 	DATA 	Keypress: right
53.1294 	EXP 	window1: recordFrameIntervals = False
53.1431 	EXP 	fixation: autoDraw = False
53.1431 	EXP 	grating: autoDraw = False
53.1431 	EXP 	grating: color = '[0.5812534 0.5812534 0.5812534] (rgb)'
53.1431 	EXP 	grating: size = array([3.6, 3.6])
53.1431 	EXP 	grating: ori = 90.0
53.1431 	EXP 	grating: sf = array([12., 12.])
53.1432 	EXP 	window1: recordFrameIntervals = False
53.4100 	EXP 	fixation: autoDraw = True
53.8940 	EXP 	fixation: autoDraw = False
54.1627 	EXP 	grating: autoDraw = True
54.6958 	DATA 	Keypress: right
54.6972 	EXP 	window1: recordFrameIntervals = False
54.7118 	EXP 	fixation: autoDraw = False
54.7118 	EXP 	grating: autoDraw = False
54.7118 	EXP 	grating: color = '[0.5812534 0.5812534 0.5812534] (rgb)'
54.7118 	EXP 	grating: size = array([3.6, 3.6])
54.7118 	EXP 	grating: ori = 0.0
54.7118 	EXP 	grating: sf = array([1.2, 1.2])
54.7119 	EXP 	window1: recordFrameIntervals = False
54.9779 	EXP 	fixation: autoDraw = True
55.4621 	EXP 	fixation: autoDraw = False
55.7289 	EXP 	grating: autoDraw = True
56.3835 	DATA 	Keypress: up
56.3850 	EXP 	window1: recordFrameIntervals = False
