107.2386 	EXP 	fixation: autoDraw = False
107.4054 	EXP 	grating: autoDraw = True
108.0745 	DATA 	Keypress: up
108.0759 	EXP 	window1: recordFrameIntervals = False
108.0892 	EXP 	fixation: autoDraw = False
108.0892 	EXP 	grating: autoDraw = False
108.0892 	EXP 	grating: color = '[0.33997471 0.33997471 0.33997471] (rgb)'
108.0892 	EXP 	grating: size = array([3.6, 3.6])
108.0892 	EXP 	grating: ori = 90.0
108.0892 	EXP 	grating: sf = array([12., 12.])
108.0893 	EXP 	window1: recordFrameIntervals = False
108.0893 	WARNING 	We overshot the intended duration of ISI by 0.7634s. The intervening code took too long to execute.
108.3565 	EXP 	fixation: autoDraw = True
108.9404 	EXP 	fixation: autoDraw = False
109.1065 	EXP 	grating: autoDraw = True
109.5591 	DATA 	Keypress: right
109.5605 	EXP 	window1: recordFrameIntervals = False
109.5737 	EXP 	fixation: autoDraw = False
109.5737 	EXP 	grating: autoDraw = False
109.5737 	EXP 	grating: color = '[0.04097471 0.04097471 0.04097471] (rgb)'
109.5737 	EXP 	grating: size = array([3.6, 3.6])
109.5737 	EXP 	grating: ori = 0.0
109.5737 	EXP 	grating: sf = array([1.2, 1.2])
109.5738 	EXP 	window1: recordFrameIntervals = False
109.5738 	WARNING 	We overshot the intended duration of ISI by 0.7634s. The intervening code took too long to execute.
109.8413 	EXP 	fixation: autoDraw = True
110.4247 	EXP 	fixation: autoDraw = False
110.5917 	EXP 	grating: autoDraw = True
111.1598 	DATA 	Keypress: up
111.1613 	EXP 	window1: recordFrameIntervals = False
111.1756 	EXP 	fixation: autoDraw = False
111.1756 	EXP 	grating: autoDraw = False
111.1756 	EXP 	grating: color = '[0.35498187 0.35498187 0.35498187] (rgb)'
111.1756 	EXP 	grating: size = array([3.6, 3.6])
111.1756 	EXP 	grating: ori = 90.0
111.1756 	EXP 	grating: sf = array([12., 12.])
111.1756 	EXP 	window1: recordFrameIntervals = False
111.1757 	WARNING 	We overshot the intended duration of ISI by 0.7644s. The intervening code took too long to execute.
111.4420 	EXP 	fixation: autoDraw = True
112.0263 	EXP 	fixation: autoDraw = False
112.1926 	EXP 	grating: autoDraw = True
112.6608 	DATA 	Keypress: right
112.6623 	EXP 	window1: recordFrameIntervals = False
112.6766 	EXP 	fixation: autoDraw = False
112.6766 	EXP 	grating: autoDraw = False
112.6766 	EXP 	grating: color = '[0.05598187 0.05598187 0.05598187] (rgb)'
112.6766 	EXP 	grating: size = array([3.6, 3.6])
112.6766 	EXP 	grating: ori = 90.0
112.6766 	EXP 	grating: sf = array([1.2, 1.2])
112.6771 	EXP 	window1: recordFrameIntervals = False
112.6771 	WARNING 	We overshot the intended duration of ISI by 0.7648s. The intervening code took too long to execute.
112.9438 	EXP 	fixation: autoDraw = True
113.5271 	EXP 	fixation: autoDraw = False
113.6942 	EXP 	grating: autoDraw = True
114.1453 	DATA 	Keypress: right
114.1467 	EXP 	window1: recordFrameIntervals = False
114.1610 	EXP 	fixation: autoDraw = False
114.1610 	EXP 	grating: autoDraw = False
114.1610 	EXP 	grating: color = '[0.35498187 0.35498187 0.35498187] (rgb)'
114.1610 	EXP 	grating: size = array([3.6, 3.6])
114.1610 	EXP 	grating: ori = 90.0
114.1610 	EXP 	grating: sf = array([1.2, 1.2])
114.1611 	EXP 	window1: recordFrameIntervals = False
114.1611 	WARNING 	We overshot the intended duration of ISI by 0.7644s. The intervening code took too long to execute.
114.4278 	EXP 	fixation: autoDraw = True
115.0118 	EXP 	fixation: autoDraw = False
115.1787 	EXP 	grating: autoDraw = True
115.3138 	DATA 	Keypress: escape
115.6191 	EXP 	window1: mouseVisible = True
