practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,setup_text.started,setup_text.stopped,instrText.started,instrText.stopped,endInstructions.keys,endInstructions.rt,endInstructions.started,endInstructions.stopped,ISI.started,ISI.stopped,fixation.started,fixation.stopped,grating.started,grating.stopped,resp.keys,resp.corr,resp.rt,resp.started,resp.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,theshold_estimation_trials.label,theshold_estimation_trials.startVal,theshold_estimation_trials.startValSd,theshold_estimation_trials.stim_diam_degs,theshold_estimation_trials.SF,theshold_estimation_trials.TF,theshold_estimation_trials.stepSizes,theshold_estimation_trials.maxVal,theshold_estimation_trials.minVal,theshold_estimation_trials.thisIndex,theshold_estimation_trials.thisRepN,theshold_estimation_trials.thisN,theshold_estimation_trials.direction,theshold_estimation_trials.stepSize,theshold_estimation_trials.stepType,theshold_estimation_trials.intensity,theshold_estimation_trials.response,thanksMsg.started,thanksMsg.stopped,participant,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,14,27,start,4,lin,0.6643531884188904,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,15,28,start,4,lin,0.6727611046223798,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,15,29,start,4,lin,0.6727611046223798,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,16,30,start,4,lin,0.6809917236426999,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,16,31,start,4,lin,0.6809917236426999,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,17,32,start,4,lin,0.6891296328065071,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,17,33,start,4,lin,0.6891296328065071,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,18,34,start,4,lin,0.6972409897801691,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,18,35,start,4,lin,0.6972409897801691,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,19,36,start,4,lin,0.7052541350225909,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,19,37,start,4,lin,0.7052541350225909,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,20,38,start,4,lin,0.7131615429430304,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,20,39,start,4,lin,0.7131615429430304,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,21,40,start,4,lin,0.7203518434150047,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,21,41,start,4,lin,0.7203518434150047,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,22,42,start,4,lin,0.7276714557592658,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,22,43,start,4,lin,0.7276714557592658,0,,,001,F,2019_Oct_14_1130,contrast_sensitivity_abramov,3.2.4,60.4741499936388,
