endInstructions.keys,endInstructions.rt,trials.label,trials.startVal,trials.startValSd,trials.stim_diam_degs,trials.SF,trials.TF,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,trials.response,session,participant,date,expName,psychopyVersion,frameRate,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,34,66,start,4,lin,0.8057961377075895,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,34,67,start,4,lin,0.8057961377075895,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,35,68,start,4,lin,0.8118236979741202,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,35,69,start,4,lin,0.8118236979741202,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,36,70,start,4,lin,0.8175035330706062,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,36,71,start,4,lin,0.8175035330706062,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,37,72,start,4,lin,0.8233703143366102,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,37,73,start,4,lin,0.8233703143366102,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,38,74,start,4,lin,0.8287654287742541,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,38,75,start,4,lin,0.8287654287742541,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,39,76,start,4,lin,0.8344749767436047,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,39,77,start,4,lin,0.8344749767436047,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_1.2_tf_1,0.5,0.05,3.6,1.2,1,"[4, 2, 2, 1]",1,0,0,40,78,start,4,lin,0.8396598473948624,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
,,sf_12_tf_1,0.5,0.05,3.6,12.0,1,"[4, 2, 2, 1]",1,0,1,40,79,start,4,lin,0.8396598473948624,0,001,000,2019_Oct_11_1310,interleaved_QUEST_staircase_contrast,3.0.2,59.985817432186025,
